                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 6.81900000000000e-03  2.25840000000000e-02
 2.70910000000000e-02  4.75100000000000e-02
 6.02630000000000e-02  7.33010000000000e-02
 1.05430000000000e-01  9.71400000000000e-02
 1.61359000000000e-01  1.17917000000000e-01
 2.26526000000000e-01  1.34137000000000e-01
 2.99152000000000e-01  1.44379000000000e-01
 3.77257000000000e-01  1.46668000000000e-01
 4.58710000000000e-01  1.40419000000000e-01
 5.41290000000000e-01  1.27194000000000e-01
 6.22743000000000e-01  1.09034000000000e-01
 7.00848000000000e-01  8.82230000000000e-02
 7.73474000000000e-01  6.72040000000000e-02
 8.38641000000000e-01  4.80070000000000e-02
 8.94570000000000e-01  3.18870000000000e-02
 9.39737000000000e-01  1.92980000000000e-02
 9.72909000000000e-01  1.01240000000000e-02
 9.93181000000000e-01  3.83900000000000e-03
 1.00000000000000e+00  0.00000000000000e+00
 9.93181000000000e-01 -1.37800000000000e-03
 9.72909000000000e-01 -2.67600000000000e-03
 9.39737000000000e-01 -5.71000000000000e-03
 8.94570000000000e-01 -1.18380000000000e-02
 8.38641000000000e-01 -2.18430000000000e-02
 7.73474000000000e-01 -3.57860000000000e-02
 7.00848000000000e-01 -5.29330000000000e-02
 6.22743000000000e-01 -7.15380000000000e-02
 5.41290000000000e-01 -8.92570000000000e-02
 4.58710000000000e-01 -1.03644000000000e-01
 3.77257000000000e-01 -1.12299000000000e-01
 2.99152000000000e-01 -1.13402000000000e-01
 2.26526000000000e-01 -1.07598000000000e-01
 1.61359000000000e-01 -9.64650000000000e-02
 1.05430000000000e-01 -8.12520000000000e-02
 6.02630000000000e-02 -6.28640000000000e-02
 2.70910000000000e-02 -4.21190000000000e-02
 6.81900000000000e-03 -2.03810000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
