                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 6.81900000000000e-03  2.40170000000000e-02
 2.70910000000000e-02  5.02610000000000e-02
 6.02630000000000e-02  7.72440000000000e-02
 1.05430000000000e-01  1.02168000000000e-01
 1.61359000000000e-01  1.23903000000000e-01
 2.26526000000000e-01  1.40948000000000e-01
 2.99152000000000e-01  1.51887000000000e-01
 3.77257000000000e-01  1.54763000000000e-01
 4.58710000000000e-01  1.48989000000000e-01
 5.41290000000000e-01  1.36081000000000e-01
 6.22743000000000e-01  1.18030000000000e-01
 7.00848000000000e-01  9.70750000000000e-02
 7.73474000000000e-01  7.56180000000000e-02
 8.38641000000000e-01  5.56660000000000e-02
 8.94570000000000e-01  3.84770000000000e-02
 9.39737000000000e-01  2.45350000000000e-02
 9.72909000000000e-01  1.37690000000000e-02
 9.93181000000000e-01  5.72100000000000e-03
 1.00000000000000e+00  0.00000000000000e+00
 9.93181000000000e-01 -3.31900000000000e-03
 9.72909000000000e-01 -6.50000000000000e-03
 9.39737000000000e-01 -1.12720000000000e-02
 8.94570000000000e-01 -1.89090000000000e-02
 8.38641000000000e-01 -3.01290000000000e-02
 7.73474000000000e-01 -4.49530000000000e-02
 7.00848000000000e-01 -6.26300000000000e-02
 6.22743000000000e-01 -8.14320000000000e-02
 5.41290000000000e-01 -9.90520000000000e-02
 4.58710000000000e-01 -1.13095000000000e-01
 3.77257000000000e-01 -1.21217000000000e-01
 2.99152000000000e-01 -1.21652000000000e-01
 2.26526000000000e-01 -1.15046000000000e-01
 1.61359000000000e-01 -1.02964000000000e-01
 1.05430000000000e-01 -8.66600000000000e-02
 6.02630000000000e-02 -6.70570000000000e-02
 2.70910000000000e-02 -4.49980000000000e-02
 6.81900000000000e-03 -2.18670000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
