                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 6.81900000000000e-03  2.15730000000000e-02
 2.70910000000000e-02  4.55710000000000e-02
 6.02630000000000e-02  7.05190000000000e-02
 1.05430000000000e-01  9.35930000000000e-02
 1.61359000000000e-01  1.13695000000000e-01
 2.26526000000000e-01  1.29332000000000e-01
 2.99152000000000e-01  1.39084000000000e-01
 3.77257000000000e-01  1.40958000000000e-01
 4.58710000000000e-01  1.34375000000000e-01
 5.41290000000000e-01  1.20926000000000e-01
 6.22743000000000e-01  1.02688000000000e-01
 7.00848000000000e-01  8.19790000000000e-02
 7.73474000000000e-01  6.12680000000000e-02
 8.38641000000000e-01  4.26040000000000e-02
 8.94570000000000e-01  2.72380000000000e-02
 9.39737000000000e-01  1.56040000000000e-02
 9.72909000000000e-01  7.55200000000000e-03
 9.93181000000000e-01  2.51100000000000e-03
 1.00000000000000e+00  0.00000000000000e+00
 9.93181000000000e-01 -9.00000000000000e-06
 9.72909000000000e-01  2.10000000000000e-05
 9.39737000000000e-01 -1.78600000000000e-03
 8.94570000000000e-01 -6.85100000000000e-03
 8.38641000000000e-01 -1.59980000000000e-02
 7.73474000000000e-01 -2.93200000000000e-02
 7.00848000000000e-01 -4.60930000000000e-02
 6.22743000000000e-01 -6.45590000000000e-02
 5.41290000000000e-01 -8.23480000000000e-02
 4.58710000000000e-01 -9.69780000000000e-02
 3.77257000000000e-01 -1.06009000000000e-01
 2.99152000000000e-01 -1.07583000000000e-01
 2.26526000000000e-01 -1.02345000000000e-01
 1.61359000000000e-01 -9.18810000000000e-02
 1.05430000000000e-01 -7.74360000000000e-02
 6.02630000000000e-02 -5.99060000000000e-02
 2.70910000000000e-02 -4.00880000000000e-02
 6.81900000000000e-03 -1.93330000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
