                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 6.81900000000000e-03  8.24420000000000e-02
 2.70910000000000e-02  1.62359000000000e-01
 6.02630000000000e-02  2.37976000000000e-01
 1.05430000000000e-01  3.07106000000000e-01
 1.61359000000000e-01  3.67865000000000e-01
 2.26526000000000e-01  4.18583000000000e-01
 2.99152000000000e-01  4.57883000000000e-01
 3.77257000000000e-01  4.84712000000000e-01
 4.58710000000000e-01  4.98283000000000e-01
 5.41290000000000e-01  4.98283000000000e-01
 6.22743000000000e-01  4.84712000000000e-01
 7.00848000000000e-01  4.57883000000000e-01
 7.73474000000000e-01  4.18583000000000e-01
 8.38641000000000e-01  3.67865000000000e-01
 8.94570000000000e-01  3.07106000000000e-01
 9.39737000000000e-01  2.37976000000000e-01
 9.72909000000000e-01  1.62359000000000e-01
 9.93181000000000e-01  8.24420000000000e-02
 1.00000000000000e+00  0.00000000000000e+00
 9.93181000000000e-01 -8.24420000000000e-02
 9.72909000000000e-01 -1.62359000000000e-01
 9.39737000000000e-01 -2.37976000000000e-01
 8.94570000000000e-01 -3.07106000000000e-01
 8.38641000000000e-01 -3.67865000000000e-01
 7.73474000000000e-01 -4.18583000000000e-01
 7.00848000000000e-01 -4.57883000000000e-01
 6.22743000000000e-01 -4.84712000000000e-01
 5.41290000000000e-01 -4.98283000000000e-01
 4.58710000000000e-01 -4.98283000000000e-01
 3.77257000000000e-01 -4.84712000000000e-01
 2.99152000000000e-01 -4.57883000000000e-01
 2.26526000000000e-01 -4.18583000000000e-01
 1.61359000000000e-01 -3.67865000000000e-01
 1.05430000000000e-01 -3.07106000000000e-01
 6.02630000000000e-02 -2.37976000000000e-01
 2.70910000000000e-02 -1.62359000000000e-01
 6.81900000000000e-03 -8.24420000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
