                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 6.81900000000000e-03  3.81730000000000e-02
 2.70910000000000e-02  7.74200000000000e-02
 6.02630000000000e-02  1.16187000000000e-01
 1.05430000000000e-01  1.51821000000000e-01
 1.61359000000000e-01  1.83011000000000e-01
 2.26526000000000e-01  2.08215000000000e-01
 2.99152000000000e-01  2.26025000000000e-01
 3.77257000000000e-01  2.34704000000000e-01
 4.58710000000000e-01  2.33617000000000e-01
 5.41290000000000e-01  2.23836000000000e-01
 6.22743000000000e-01  2.06871000000000e-01
 7.00848000000000e-01  1.84493000000000e-01
 7.73474000000000e-01  1.58713000000000e-01
 8.38641000000000e-01  1.31307000000000e-01
 8.94570000000000e-01  1.03562000000000e-01
 9.39737000000000e-01  7.62480000000000e-02
 9.72909000000000e-01  4.97700000000000e-02
 9.93181000000000e-01  2.43100000000000e-02
 1.00000000000000e+00  0.00000000000000e+00
 9.93181000000000e-01 -2.24890000000000e-02
 9.72909000000000e-01 -4.42620000000000e-02
 9.39737000000000e-01 -6.61980000000000e-02
 8.94570000000000e-01 -8.87340000000000e-02
 8.38641000000000e-01 -1.11957000000000e-01
 7.73474000000000e-01 -1.35477000000000e-01
 7.00848000000000e-01 -1.58393000000000e-01
 6.22743000000000e-01 -1.79140000000000e-01
 5.41290000000000e-01 -1.95779000000000e-01
 4.58710000000000e-01 -2.06420000000000e-01
 3.77257000000000e-01 -2.09286000000000e-01
 2.99152000000000e-01 -2.03115000000000e-01
 2.26526000000000e-01 -1.88588000000000e-01
 1.61359000000000e-01 -1.67145000000000e-01
 1.05430000000000e-01 -1.40070000000000e-01
 6.02630000000000e-02 -1.08468000000000e-01
 2.70910000000000e-02 -7.34330000000000e-02
 6.81900000000000e-03 -3.65440000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
