                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 1.74000000000000e-03  9.99000000000000e-03
 9.99000000000000e-03  2.55400000000000e-02
 2.68400000000000e-02  4.38400000000000e-02
 8.53800000000000e-02  8.18300000000000e-02
 1.26020000000000e-01  9.88900000000000e-02
 1.73070000000000e-01  1.13700000000000e-01
 2.25630000000000e-01  1.25450000000000e-01
 3.43100000000000e-01  1.36890000000000e-01
 4.05650000000000e-01  1.35010000000000e-01
 4.69030000000000e-01  1.28320000000000e-01
 5.32130000000000e-01  1.17850000000000e-01
 6.53880000000000e-01  8.98200000000000e-02
 7.11010000000000e-01  7.43200000000000e-02
 7.64750000000000e-01  5.91500000000000e-02
 8.14500000000000e-01  4.51000000000000e-02
 8.99560000000000e-01  2.23800000000000e-02
 9.33650000000000e-01  1.41400000000000e-02
 9.61390000000000e-01  7.98000000000000e-03
 9.82280000000000e-01  2.44000000000000e-03
 9.82280000000000e-01  1.83000000000000e-03
 9.61390000000000e-01  2.09000000000000e-03
 9.33510000000000e-01  8.50000000000000e-04
 8.59090000000000e-01 -8.04000000000000e-03
 8.13820000000000e-01 -1.60500000000000e-02
 7.64090000000000e-01 -2.63500000000000e-02
 7.10600000000000e-01 -3.85100000000000e-02
 5.94970000000000e-01 -6.55000000000000e-02
 5.34160000000000e-01 -7.84300000000000e-02
 4.72340000000000e-01 -8.96800000000000e-02
 4.10300000000000e-01 -9.81400000000000e-02
 2.89530000000000e-01 -1.02840000000000e-01
 2.33070000000000e-01 -9.89600000000000e-02
 1.80640000000000e-01 -9.19000000000000e-02
 1.33180000000000e-01 -8.20800000000000e-02
 5.67900000000000e-02 -5.59700000000000e-02
 2.97500000000000e-02 -4.03800000000000e-02
 1.12700000000000e-02 -2.44300000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
