                    41   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 0.00000000000000e+00  0.00000000000000e+00
 6.81900000000000e-03  2.84840000000000e-02
 2.70910000000000e-02  5.88310000000000e-02
 6.02630000000000e-02  8.95320000000000e-02
 1.05430000000000e-01  1.17836000000000e-01
 1.61359000000000e-01  1.42554000000000e-01
 2.26526000000000e-01  1.62174000000000e-01
 2.99152000000000e-01  1.75281000000000e-01
 3.77257000000000e-01  1.79988000000000e-01
 4.58710000000000e-01  1.75693000000000e-01
 5.41290000000000e-01  1.63772000000000e-01
 6.22743000000000e-01  1.46064000000000e-01
 7.00848000000000e-01  1.24660000000000e-01
 7.73474000000000e-01  1.01839000000000e-01
 8.38641000000000e-01  7.95350000000000e-02
 8.94570000000000e-01  5.90150000000000e-02
 9.39737000000000e-01  4.08530000000000e-02
 9.72909000000000e-01  2.51300000000000e-02
 9.93181000000000e-01  1.15870000000000e-02
 1.00000000000000e+00  0.00000000000000e+00
 9.93181000000000e-01 -9.36800000000000e-03
 9.72909000000000e-01 -1.84160000000000e-02
 9.39737000000000e-01 -2.86040000000000e-02
 8.94570000000000e-01 -4.09420000000000e-02
 8.38641000000000e-01 -5.59500000000000e-02
 7.73474000000000e-01 -7.35180000000000e-02
 7.00848000000000e-01 -9.28480000000000e-02
 6.22743000000000e-01 -1.12264000000000e-01
 5.41290000000000e-01 -1.29574000000000e-01
 4.58710000000000e-01 -1.42543000000000e-01
 3.77257000000000e-01 -1.49007000000000e-01
 2.99152000000000e-01 -1.47357000000000e-01
 2.26526000000000e-01 -1.38252000000000e-01
 1.61359000000000e-01 -1.23216000000000e-01
 1.05430000000000e-01 -1.03514000000000e-01
 6.02630000000000e-02 -8.01240000000000e-02
 2.70910000000000e-02 -5.39710000000000e-02
 6.81900000000000e-03 -2.64990000000000e-02
 0.00000000000000e+00  0.00000000000000e+00
 0.00000000000000e+00  0.00000000000000e+00
