                   401   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.330870       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  3.47000000000000e-03
 9.96600000000000e-01  4.55000000000000e-03
 9.93140000000000e-01  5.65000000000000e-03
 9.89610000000000e-01  6.78000000000000e-03
 9.86010000000000e-01  7.95000000000000e-03
 9.82350000000000e-01  9.14000000000000e-03
 9.78630000000000e-01  1.03500000000000e-02
 9.74840000000000e-01  1.15800000000000e-02
 9.70980000000000e-01  1.28300000000000e-02
 9.67060000000000e-01  1.41000000000000e-02
 9.63070000000000e-01  1.53900000000000e-02
 9.59020000000000e-01  1.67000000000000e-02
 9.54900000000000e-01  1.80300000000000e-02
 9.50720000000000e-01  1.93700000000000e-02
 9.46470000000000e-01  2.07400000000000e-02
 9.42160000000000e-01  2.21200000000000e-02
 9.37780000000000e-01  2.35200000000000e-02
 9.33330000000000e-01  2.49500000000000e-02
 9.28820000000000e-01  2.63900000000000e-02
 9.24250000000000e-01  2.78600000000000e-02
 9.19610000000000e-01  2.93600000000000e-02
 9.14900000000000e-01  3.08700000000000e-02
 9.10130000000000e-01  3.24200000000000e-02
 9.05290000000000e-01  3.40000000000000e-02
 9.00390000000000e-01  3.56000000000000e-02
 8.95420000000000e-01  3.72300000000000e-02
 8.90390000000000e-01  3.88700000000000e-02
 8.85290000000000e-01  4.05600000000000e-02
 8.80130000000000e-01  4.22600000000000e-02
 8.74900000000000e-01  4.39900000000000e-02
 8.69610000000000e-01  4.57500000000000e-02
 8.64250000000000e-01  4.75400000000000e-02
 8.58820000000000e-01  4.93500000000000e-02
 8.53330000000000e-01  5.11900000000000e-02
 8.47780000000000e-01  5.30500000000000e-02
 8.42160000000000e-01  5.49300000000000e-02
 8.36470000000000e-01  5.68500000000000e-02
 8.30720000000000e-01  5.87800000000000e-02
 8.24900000000000e-01  6.07600000000000e-02
 8.19020000000000e-01  6.27500000000000e-02
 8.13070000000000e-01  6.47600000000000e-02
 8.07060000000000e-01  6.68000000000000e-02
 8.00980000000000e-01  6.88600000000000e-02
 7.94840000000000e-01  7.09400000000000e-02
 7.88630000000000e-01  7.30400000000000e-02
 7.82350000000000e-01  7.51700000000000e-02
 7.76010000000000e-01  7.73000000000000e-02
 7.69610000000000e-01  7.94700000000000e-02
 7.63140000000000e-01  8.16500000000000e-02
 7.56600000000000e-01  8.38600000000000e-02
 7.50000000000000e-01  8.60800000000000e-02
 7.43330000000000e-01  8.83200000000000e-02
 7.36670000000000e-01  9.05600000000000e-02
 7.30000000000000e-01  9.27900000000000e-02
 7.23330000000000e-01  9.50200000000000e-02
 7.16670000000000e-01  9.72400000000000e-02
 7.10000000000000e-01  9.94600000000000e-02
 7.03330000000000e-01  1.01660000000000e-01
 6.96670000000000e-01  1.03860000000000e-01
 6.90000000000000e-01  1.06050000000000e-01
 6.83330000000000e-01  1.08220000000000e-01
 6.76670000000000e-01  1.10400000000000e-01
 6.70000000000000e-01  1.12560000000000e-01
 6.63330000000000e-01  1.14710000000000e-01
 6.56670000000000e-01  1.16850000000000e-01
 6.50000000000000e-01  1.18970000000000e-01
 6.43330000000000e-01  1.21090000000000e-01
 6.36670000000000e-01  1.23180000000000e-01
 6.30000000000000e-01  1.25270000000000e-01
 6.23330000000000e-01  1.27330000000000e-01
 6.16670000000000e-01  1.29380000000000e-01
 6.10000000000000e-01  1.31420000000000e-01
 6.03330000000000e-01  1.33430000000000e-01
 5.96670000000000e-01  1.35430000000000e-01
 5.90000000000000e-01  1.37420000000000e-01
 5.83330000000000e-01  1.39380000000000e-01
 5.76670000000000e-01  1.41310000000000e-01
 5.70000000000000e-01  1.43230000000000e-01
 5.63330000000000e-01  1.45120000000000e-01
 5.56670000000000e-01  1.46980000000000e-01
 5.50000000000000e-01  1.48820000000000e-01
 5.43330000000000e-01  1.50640000000000e-01
 5.36670000000000e-01  1.52420000000000e-01
 5.30000000000000e-01  1.54170000000000e-01
 5.23330000000000e-01  1.55910000000000e-01
 5.16670000000000e-01  1.57590000000000e-01
 5.10000000000000e-01  1.59250000000000e-01
 5.03330000000000e-01  1.60880000000000e-01
