                   401   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  1.94000000000000e-03
 9.96600000000000e-01  3.04000000000000e-03
 9.93140000000000e-01  4.11000000000000e-03
 9.89610000000000e-01  5.16000000000000e-03
 9.86010000000000e-01  6.18000000000000e-03
 9.82350000000000e-01  7.20000000000000e-03
 9.78630000000000e-01  8.23000000000000e-03
 9.74840000000000e-01  9.27000000000000e-03
 9.70980000000000e-01  1.03300000000000e-02
 9.67060000000000e-01  1.13900000000000e-02
 9.63070000000000e-01  1.24600000000000e-02
 9.59020000000000e-01  1.35400000000000e-02
 9.54900000000000e-01  1.46300000000000e-02
 9.50720000000000e-01  1.57300000000000e-02
 9.46470000000000e-01  1.68400000000000e-02
 9.42160000000000e-01  1.79700000000000e-02
 9.37780000000000e-01  1.91100000000000e-02
 9.33330000000000e-01  2.02600000000000e-02
 9.28820000000000e-01  2.14200000000000e-02
 9.24250000000000e-01  2.26000000000000e-02
 9.19610000000000e-01  2.37900000000000e-02
 9.14900000000000e-01  2.49900000000000e-02
 9.10130000000000e-01  2.62100000000000e-02
 9.05290000000000e-01  2.74400000000000e-02
 9.00390000000000e-01  2.86900000000000e-02
 8.95420000000000e-01  2.99500000000000e-02
 8.90390000000000e-01  3.12200000000000e-02
 8.85290000000000e-01  3.25000000000000e-02
 8.80130000000000e-01  3.37900000000000e-02
 8.74900000000000e-01  3.51000000000000e-02
 8.69610000000000e-01  3.64300000000000e-02
 8.64250000000000e-01  3.77600000000000e-02
 8.58820000000000e-01  3.91200000000000e-02
 8.53330000000000e-01  4.04800000000000e-02
 8.47780000000000e-01  4.18600000000000e-02
 8.42160000000000e-01  4.32600000000000e-02
 8.36470000000000e-01  4.46600000000000e-02
 8.30720000000000e-01  4.60800000000000e-02
 8.24900000000000e-01  4.75200000000000e-02
 8.19020000000000e-01  4.89600000000000e-02
 8.13070000000000e-01  5.04100000000000e-02
 8.07060000000000e-01  5.18800000000000e-02
 8.00980000000000e-01  5.33600000000000e-02
 7.94840000000000e-01  5.48400000000000e-02
 7.88630000000000e-01  5.63400000000000e-02
 7.82350000000000e-01  5.78400000000000e-02
 7.76010000000000e-01  5.93600000000000e-02
 7.69610000000000e-01  6.08800000000000e-02
 7.63140000000000e-01  6.24200000000000e-02
 7.56600000000000e-01  6.39600000000000e-02
 7.50000000000000e-01  6.55000000000000e-02
 7.43330000000000e-01  6.70600000000000e-02
 7.36670000000000e-01  6.86000000000000e-02
 7.30000000000000e-01  7.01400000000000e-02
 7.23330000000000e-01  7.16700000000000e-02
 7.16670000000000e-01  7.32000000000000e-02
 7.10000000000000e-01  7.47200000000000e-02
 7.03330000000000e-01  7.62400000000000e-02
 6.96670000000000e-01  7.77400000000000e-02
 6.90000000000000e-01  7.92400000000000e-02
 6.83330000000000e-01  8.07200000000000e-02
 6.76670000000000e-01  8.22000000000000e-02
 6.70000000000000e-01  8.36600000000000e-02
 6.63330000000000e-01  8.51100000000000e-02
 6.56670000000000e-01  8.65500000000000e-02
 6.50000000000000e-01  8.79800000000000e-02
 6.43330000000000e-01  8.94000000000000e-02
 6.36670000000000e-01  9.08000000000000e-02
 6.30000000000000e-01  9.22000000000000e-02
 6.23330000000000e-01  9.35700000000000e-02
 6.16670000000000e-01  9.49200000000000e-02
 6.10000000000000e-01  9.62600000000000e-02
 6.03330000000000e-01  9.75900000000000e-02
 5.96670000000000e-01  9.88900000000000e-02
 5.90000000000000e-01  1.00170000000000e-01
 5.83330000000000e-01  1.01430000000000e-01
 5.76670000000000e-01  1.02670000000000e-01
 5.70000000000000e-01  1.03890000000000e-01
 5.63330000000000e-01  1.05090000000000e-01
 5.56670000000000e-01  1.06270000000000e-01
 5.50000000000000e-01  1.07420000000000e-01
 5.43330000000000e-01  1.08540000000000e-01
 5.36670000000000e-01  1.09640000000000e-01
 5.30000000000000e-01  1.10710000000000e-01
 5.23330000000000e-01  1.11750000000000e-01
 5.16670000000000e-01  1.12770000000000e-01
 5.10000000000000e-01  1.13750000000000e-01
 5.03330000000000e-01  1.14700000000000e-01
 4.96670000000000e-01  1.15620000000000e-01
 4.90000000000000e-01  1.16500000000000e-01
 4.83330000000000e-01  1.17340000000000e-01
 4.76670000000000e-01  1.18130000000000e-01
 4.70000000000000e-01  1.18890000000000e-01
 4.63330000000000e-01  1.19600000000000e-01
 4.56670000000000e-01  1.20270000000000e-01
 4.50000000000000e-01  1.20890000000000e-01
 4.43330000000000e-01  1.21470000000000e-01
 4.36670000000000e-01  1.22000000000000e-01
 4.30000000000000e-01  1.22490000000000e-01
 4.23330000000000e-01  1.22920000000000e-01
 4.16670000000000e-01  1.23310000000000e-01
 4.10000000000000e-01  1.23650000000000e-01
 4.03330000000000e-01  1.23940000000000e-01
 3.96670000000000e-01  1.24180000000000e-01
 3.90000000000000e-01  1.24360000000000e-01
 3.83330000000000e-01  1.24490000000000e-01
 3.76670000000000e-01  1.24570000000000e-01
 3.70000000000000e-01  1.24590000000000e-01
 3.63330000000000e-01  1.24550000000000e-01
 3.56670000000000e-01  1.24460000000000e-01
 3.50000000000000e-01  1.24310000000000e-01
 3.43330000000000e-01  1.24110000000000e-01
 3.36670000000000e-01  1.23850000000000e-01
 3.30000000000000e-01  1.23530000000000e-01
 3.23330000000000e-01  1.23170000000000e-01
 3.16670000000000e-01  1.22750000000000e-01
 3.10000000000000e-01  1.22280000000000e-01
 3.03330000000000e-01  1.21750000000000e-01
 2.96670000000000e-01  1.21170000000000e-01
 2.90000000000000e-01  1.20530000000000e-01
 2.83330000000000e-01  1.19840000000000e-01
 2.76670000000000e-01  1.19100000000000e-01
 2.70000000000000e-01  1.18290000000000e-01
 2.63330000000000e-01  1.17440000000000e-01
 2.56670000000000e-01  1.16530000000000e-01
 2.50000000000000e-01  1.15570000000000e-01
 2.43420000000000e-01  1.14560000000000e-01
 2.36930000000000e-01  1.13510000000000e-01
 2.30530000000000e-01  1.12430000000000e-01
 2.24210000000000e-01  1.11300000000000e-01
 2.17980000000000e-01  1.10150000000000e-01
 2.11840000000000e-01  1.08960000000000e-01
 2.05790000000000e-01  1.07730000000000e-01
 1.99820000000000e-01  1.06480000000000e-01
 1.93950000000000e-01  1.05200000000000e-01
 1.88160000000000e-01  1.03890000000000e-01
 1.82450000000000e-01  1.02550000000000e-01
 1.76840000000000e-01  1.01190000000000e-01
 1.71310000000000e-01  9.98000000000000e-02
 1.65870000000000e-01  9.83900000000000e-02
 1.60520000000000e-01  9.69600000000000e-02
 1.55260000000000e-01  9.55000000000000e-02
 1.50080000000000e-01  9.40300000000000e-02
 1.44990000000000e-01  9.25400000000000e-02
 1.39990000000000e-01  9.10300000000000e-02
 1.35080000000000e-01  8.95000000000000e-02
 1.30260000000000e-01  8.79600000000000e-02
 1.25520000000000e-01  8.64100000000000e-02
 1.20870000000000e-01  8.48300000000000e-02
 1.16310000000000e-01  8.32500000000000e-02
 1.11830000000000e-01  8.16500000000000e-02
 1.07450000000000e-01  8.00400000000000e-02
 1.03150000000000e-01  7.84300000000000e-02
 9.89300000000000e-02  7.67900000000000e-02
 9.48100000000000e-02  7.51600000000000e-02
 9.07700000000000e-02  7.35100000000000e-02
 8.68300000000000e-02  7.18600000000000e-02
 8.29700000000000e-02  7.02100000000000e-02
 7.91900000000000e-02  6.85400000000000e-02
 7.55100000000000e-02  6.68700000000000e-02
 7.19100000000000e-02  6.52000000000000e-02
 6.84000000000000e-02  6.35300000000000e-02
 6.49800000000000e-02  6.18500000000000e-02
 6.16400000000000e-02  6.01700000000000e-02
 5.84000000000000e-02  5.85000000000000e-02
 5.52400000000000e-02  5.68200000000000e-02
 5.21700000000000e-02  5.51500000000000e-02
 4.91800000000000e-02  5.34800000000000e-02
 4.62900000000000e-02  5.18100000000000e-02
 4.34800000000000e-02  5.01500000000000e-02
 4.07600000000000e-02  4.84900000000000e-02
 3.81200000000000e-02  4.68300000000000e-02
 3.55800000000000e-02  4.51900000000000e-02
 3.31200000000000e-02  4.35600000000000e-02
 3.07500000000000e-02  4.19400000000000e-02
 2.84700000000000e-02  4.03300000000000e-02
 2.62700000000000e-02  3.87400000000000e-02
 2.41700000000000e-02  3.71600000000000e-02
 2.21500000000000e-02  3.56000000000000e-02
 2.02200000000000e-02  3.40400000000000e-02
 1.83700000000000e-02  3.24900000000000e-02
 1.66200000000000e-02  3.09400000000000e-02
 1.49500000000000e-02  2.94000000000000e-02
 1.33700000000000e-02  2.78500000000000e-02
 1.18700000000000e-02  2.63000000000000e-02
 1.04700000000000e-02  2.47600000000000e-02
 9.15000000000000e-03  2.32200000000000e-02
 7.92000000000000e-03  2.16900000000000e-02
 6.78000000000000e-03  2.01700000000000e-02
 5.72000000000000e-03  1.86400000000000e-02
 4.76000000000000e-03  1.71300000000000e-02
 3.88000000000000e-03  1.56200000000000e-02
 3.09000000000000e-03  1.41000000000000e-02
 2.38000000000000e-03  1.25300000000000e-02
 1.77000000000000e-03  1.09400000000000e-02
 1.24000000000000e-03  9.23000000000000e-03
