                   401   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00  2.83000000000000e-03
 9.96600000000000e-01  3.78000000000000e-03
 9.93140000000000e-01  4.77000000000000e-03
 9.89610000000000e-01  5.78000000000000e-03
 9.86010000000000e-01  6.83000000000000e-03
 9.82350000000000e-01  7.89000000000000e-03
 9.78630000000000e-01  8.97000000000000e-03
 9.74840000000000e-01  1.00600000000000e-02
 9.70980000000000e-01  1.11600000000000e-02
 9.67060000000000e-01  1.22800000000000e-02
 9.63070000000000e-01  1.34200000000000e-02
 9.59020000000000e-01  1.45600000000000e-02
 9.54900000000000e-01  1.57100000000000e-02
 9.50720000000000e-01  1.68800000000000e-02
 9.46470000000000e-01  1.80600000000000e-02
 9.42160000000000e-01  1.92600000000000e-02
 9.37780000000000e-01  2.04600000000000e-02
 9.33330000000000e-01  2.16900000000000e-02
 9.28820000000000e-01  2.29200000000000e-02
 9.24250000000000e-01  2.41900000000000e-02
 9.19610000000000e-01  2.54700000000000e-02
 9.14900000000000e-01  2.67500000000000e-02
 9.10130000000000e-01  2.80700000000000e-02
 9.05290000000000e-01  2.94100000000000e-02
 9.00390000000000e-01  3.07700000000000e-02
 8.95420000000000e-01  3.21400000000000e-02
 8.90390000000000e-01  3.35300000000000e-02
 8.85290000000000e-01  3.49500000000000e-02
 8.80130000000000e-01  3.63800000000000e-02
 8.74900000000000e-01  3.78200000000000e-02
 8.69610000000000e-01  3.92900000000000e-02
 8.64250000000000e-01  4.07900000000000e-02
 8.58820000000000e-01  4.23000000000000e-02
 8.53330000000000e-01  4.38300000000000e-02
 8.47780000000000e-01  4.53800000000000e-02
 8.42160000000000e-01  4.69400000000000e-02
 8.36470000000000e-01  4.85300000000000e-02
 8.30720000000000e-01  5.01300000000000e-02
 8.24900000000000e-01  5.17600000000000e-02
 8.19020000000000e-01  5.34000000000000e-02
 8.13070000000000e-01  5.50600000000000e-02
 8.07060000000000e-01  5.67300000000000e-02
 8.00980000000000e-01  5.84200000000000e-02
 7.94840000000000e-01  6.01300000000000e-02
 7.88630000000000e-01  6.18400000000000e-02
 7.82350000000000e-01  6.35800000000000e-02
 7.76010000000000e-01  6.53100000000000e-02
 7.69610000000000e-01  6.70800000000000e-02
 7.63140000000000e-01  6.88500000000000e-02
 7.56600000000000e-01  7.06400000000000e-02
 7.50000000000000e-01  7.24400000000000e-02
 7.43330000000000e-01  7.42600000000000e-02
 7.36670000000000e-01  7.60600000000000e-02
 7.30000000000000e-01  7.78600000000000e-02
 7.23330000000000e-01  7.96600000000000e-02
 7.16670000000000e-01  8.14400000000000e-02
 7.10000000000000e-01  8.32200000000000e-02
 7.03330000000000e-01  8.49800000000000e-02
 6.96670000000000e-01  8.67400000000000e-02
 6.90000000000000e-01  8.84900000000000e-02
 6.83330000000000e-01  9.02200000000000e-02
 6.76670000000000e-01  9.19600000000000e-02
 6.70000000000000e-01  9.36800000000000e-02
 6.63330000000000e-01  9.53900000000000e-02
 6.56670000000000e-01  9.70800000000000e-02
 6.50000000000000e-01  9.87600000000000e-02
 6.43330000000000e-01  1.00440000000000e-01
 6.36670000000000e-01  1.02100000000000e-01
 6.30000000000000e-01  1.03750000000000e-01
 6.23330000000000e-01  1.05380000000000e-01
 6.16670000000000e-01  1.06990000000000e-01
 6.10000000000000e-01  1.08590000000000e-01
 6.03330000000000e-01  1.10170000000000e-01
 5.96670000000000e-01  1.11740000000000e-01
 5.90000000000000e-01  1.13300000000000e-01
 5.83330000000000e-01  1.14830000000000e-01
 5.76670000000000e-01  1.16340000000000e-01
 5.70000000000000e-01  1.17840000000000e-01
 5.63330000000000e-01  1.19310000000000e-01
 5.56670000000000e-01  1.20770000000000e-01
 5.50000000000000e-01  1.22200000000000e-01
 5.43330000000000e-01  1.23630000000000e-01
 5.36670000000000e-01  1.25020000000000e-01
 5.30000000000000e-01  1.26390000000000e-01
 5.23330000000000e-01  1.27750000000000e-01
 5.16670000000000e-01  1.29070000000000e-01
 5.10000000000000e-01  1.30370000000000e-01
 5.03330000000000e-01  1.31650000000000e-01
 4.96670000000000e-01  1.32890000000000e-01
 4.90000000000000e-01  1.34110000000000e-01
 4.83330000000000e-01  1.35310000000000e-01
 4.76670000000000e-01  1.36480000000000e-01
 4.70000000000000e-01  1.37610000000000e-01
 4.63330000000000e-01  1.38730000000000e-01
 4.56670000000000e-01  1.39800000000000e-01
 4.50000000000000e-01  1.40860000000000e-01
 4.43330000000000e-01  1.41890000000000e-01
 4.36670000000000e-01  1.42880000000000e-01
 4.30000000000000e-01  1.43840000000000e-01
 4.23330000000000e-01  1.44770000000000e-01
 4.16670000000000e-01  1.45660000000000e-01
 4.10000000000000e-01  1.46530000000000e-01
 4.03330000000000e-01  1.47360000000000e-01
 3.96670000000000e-01  1.48140000000000e-01
 3.90000000000000e-01  1.48890000000000e-01
 3.83330000000000e-01  1.49600000000000e-01
 3.76670000000000e-01  1.50280000000000e-01
 3.70000000000000e-01  1.50910000000000e-01
 3.63330000000000e-01  1.51510000000000e-01
 3.56670000000000e-01  1.52070000000000e-01
 3.50000000000000e-01  1.52580000000000e-01
 3.43330000000000e-01  1.53060000000000e-01
 3.36670000000000e-01  1.53510000000000e-01
 3.30000000000000e-01  1.53910000000000e-01
 3.23330000000000e-01  1.54260000000000e-01
 3.16670000000000e-01  1.54570000000000e-01
 3.10000000000000e-01  1.54820000000000e-01
 3.03330000000000e-01  1.55020000000000e-01
 2.96670000000000e-01  1.55160000000000e-01
 2.90000000000000e-01  1.55240000000000e-01
 2.83330000000000e-01  1.55250000000000e-01
 2.76670000000000e-01  1.55200000000000e-01
 2.70000000000000e-01  1.55070000000000e-01
 2.63330000000000e-01  1.54860000000000e-01
 2.56670000000000e-01  1.54570000000000e-01
 2.50000000000000e-01  1.54190000000000e-01
 2.43420000000000e-01  1.53720000000000e-01
 2.36930000000000e-01  1.53160000000000e-01
 2.30530000000000e-01  1.52500000000000e-01
 2.24210000000000e-01  1.51750000000000e-01
 2.17980000000000e-01  1.50940000000000e-01
 2.11840000000000e-01  1.50020000000000e-01
 2.05790000000000e-01  1.49040000000000e-01
 1.99820000000000e-01  1.47980000000000e-01
 1.93950000000000e-01  1.46860000000000e-01
 1.88160000000000e-01  1.45660000000000e-01
 1.82450000000000e-01  1.44390000000000e-01
 1.76840000000000e-01  1.43080000000000e-01
 1.71310000000000e-01  1.41690000000000e-01
 1.65870000000000e-01  1.40250000000000e-01
 1.60520000000000e-01  1.38750000000000e-01
 1.55260000000000e-01  1.37210000000000e-01
 1.50080000000000e-01  1.35610000000000e-01
 1.44990000000000e-01  1.33960000000000e-01
 1.39990000000000e-01  1.32260000000000e-01
 1.35080000000000e-01  1.30520000000000e-01
 1.30260000000000e-01  1.28730000000000e-01
 1.25520000000000e-01  1.26890000000000e-01
 1.20870000000000e-01  1.25020000000000e-01
 1.16310000000000e-01  1.23110000000000e-01
 1.11830000000000e-01  1.21150000000000e-01
 1.07450000000000e-01  1.19170000000000e-01
 1.03150000000000e-01  1.17150000000000e-01
 9.89300000000000e-02  1.15090000000000e-01
 9.48100000000000e-02  1.12990000000000e-01
 9.07700000000000e-02  1.10870000000000e-01
 8.68300000000000e-02  1.08710000000000e-01
 8.29700000000000e-02  1.06520000000000e-01
 7.91900000000000e-02  1.04300000000000e-01
 7.55100000000000e-02  1.02070000000000e-01
 7.19100000000000e-02  9.97900000000000e-02
 6.84000000000000e-02  9.75000000000000e-02
 6.49800000000000e-02  9.51700000000000e-02
 6.16400000000000e-02  9.28400000000000e-02
 5.84000000000000e-02  9.04800000000000e-02
 5.52400000000000e-02  8.80900000000000e-02
 5.21700000000000e-02  8.56900000000000e-02
 4.91800000000000e-02  8.32700000000000e-02
 4.62900000000000e-02  8.08400000000000e-02
 4.34800000000000e-02  7.83900000000000e-02
 4.07600000000000e-02  7.59200000000000e-02
 3.81200000000000e-02  7.34500000000000e-02
 3.55800000000000e-02  7.09600000000000e-02
 3.31200000000000e-02  6.84700000000000e-02
 3.07500000000000e-02  6.59700000000000e-02
 2.84700000000000e-02  6.34800000000000e-02
 2.62700000000000e-02  6.09700000000000e-02
 2.41700000000000e-02  5.84700000000000e-02
 2.21500000000000e-02  5.59600000000000e-02
 2.02200000000000e-02  5.34400000000000e-02
 1.83700000000000e-02  5.09100000000000e-02
 1.66200000000000e-02  4.84100000000000e-02
 1.49500000000000e-02  4.58900000000000e-02
 1.33700000000000e-02  4.33900000000000e-02
 1.18700000000000e-02  4.08800000000000e-02
 1.04700000000000e-02  3.84000000000000e-02
 9.15000000000000e-03  3.59100000000000e-02
 7.92000000000000e-03  3.34300000000000e-02
 6.78000000000000e-03  3.09600000000000e-02
 5.72000000000000e-03  2.84500000000000e-02
 4.76000000000000e-03  2.59200000000000e-02
 3.88000000000000e-03  2.32900000000000e-02
 3.09000000000000e-03  2.05600000000000e-02
 2.38000000000000e-03  1.77400000000000e-02
 1.77000000000000e-03  1.50300000000000e-02
 1.24000000000000e-03  1.24000000000000e-02
