holeid,east,north,elev,length,az,dip,drilltype,year
00-325B,2277544.98,410378.56,1615,325,0,-90,RC,2000
00-326C,2277625.01,409716.37,1613,870,0,-90,CORE,2000
00-327C,2278494.01,410798.47,1609,500,0,-90,CORE,2000
00-328B,2277404.99,410369.65,1616,305,0,-90,RC,2000
00-329B,2277714.99,410479.76,1611,385,0,-90,RC,2000
00-330C,2278671.02,410580.38,1613,650,0,-90,CORE,2000
00-331C,2277300.98,410233.48,1613,375,0,-90,CORE,2000
00-332B,2277753.01,410685.9,1613,185,0,-90,RC,2000
00-333B,2277775.01,410582.17,1613,345,0,-90,RC,2000
00-334C,2277964.03,409676.14,1604,969,0,-90,CORE,2000
00-335B,2277964.02,410248.09,1612,665,0,-90,RC,2000
00-336B,2278175,410557.47,1610,485,0,-90,RC,2000
00-337C,2280780.08,411659.18,1610,600,0,-90,CORE,2000
00-338B,2278243.01,410275.57,1612,745,0,-90,RC,2000
00-339C,2280578.12,411226.26,1605,699,0,-90,CORE,2000
00-340C,2280284.07,410772.44,1602,1020,0,-90,CORE,2000
00-341B,2277604.99,409816.37,1604,725,0,-90,RC,2000
00-342B,2276726.01,409943.77,1604,365,0,-90,RC,2000
00-343C,2279141.06,411008.96,1609,560,0,-90,CORE,2000
00-344C,2275762.94,408306.2,1613,968.5,0,-90,CORE,2000
00-345B,2275998.97,409771.66,1609,265,0,-90,RC,2000
00-346B,2276179.98,409548.16,1612,305,0,-90,RC,2000
00-347C,2275285.91,408071.09,1618,924,0,-90,CORE,2000
00-348B,2275439.94,409456.07,1610,265,0,-90,RC,2000
00-349B,2275508.94,409295.36,1607,365,0,-90,RC,2000
00-350C,2276543.99,408978.07,1600,619,0,-90,CORE,2000
00-351B,2275672.93,408988.75,1610,565,0,-90,RC,2000
00-352C,2276255.97,408704.2,1600,694,0,-90,CORE,2000
00-353B,2275916.95,408746.57,1603,645,0,-90,RC,2000
00-354C,2276350.95,409259.87,1601,424,0,-90,CORE,2000
00-355C,2276606.96,409590.08,1600,271,0,-90,CORE,2000
00-356B,2275786.95,408860.66,1602,605,0,-90,RC,2000
00-357C,2278228.99,410409.96,1613,565.5,0,-90,CORE,2000
00-358B,2275441.93,409019.06,1612,585,0,-90,RC,2000
00-359B,2277101.98,409772.54,1607,425,0,-90,RC,2000
00-360B,2276910.98,409708.69,1601,425,0,-90,RC,2000
00-361C,2279910.71,410929.82,1605,775,0,-90,CORE,2000
00-362C,2280978.55,412000.4,1611,314,0,-90,CORE,2001
00-363C,2281351.77,412047.1,1608,329,0,-90,CORE,2000
00-364C,2281644.98,412150.41,1605,224,0,-90,CORE,2000
00-365C,2282211.19,412294.83,1620,299,0,-90,CORE,2000
00-366C,2282595.27,411774.95,1619,799,0,-90,CORE,2000
00-367C,2283662.36,411938.49,1604,1195,0,-90,CORE,2000
00-368C,2282171.16,411820.13,1620,969,0,-90,CORE,2000
00-369C,2282356.8,411554.31,1609,959,0,-90,CORE,2000
00-370C,2281858.63,410886.49,1619,878,0,-90,CORE,2000
00-371C,2280999.68,411491.58,1609,780,0,-90,CORE,2000
00-372C,2281171.18,411734.39,1614,740,0,-90,CORE,2000
00-373C,2281559.28,411815.31,1606,700,0,-90,CORE,2000
10001,2301115.7,420027.11,-87,251.5,0,-90,CORE,1977
10002,2301117.31,420024.59,-86,383,147,-45,CORE,1977
10003,2301118.39,420022.91,-86,549,147,-26,CORE,1977
10004,2301119.51,420021.21,-84,395,327,0,CORE,1977
10005,2301111.91,420033.01,-84,509,327,5,CORE,1977
10006,2301112.41,420032.19,-87,504,327,-21,CORE,1978
10007,2301112.41,420032.19,-87,306,327,-40,CORE,1978
10008,2301112.41,420032.19,-80,324,327,53,CORE,1978
10009,2301116.19,420026.29,-77,354,0,90,CORE,1978
10010,2301118.39,420022.91,-80,409,147,46,CORE,1978
10011,2301128.81,420034.41,-84,299,57,0,CORE,1978
10012,2301128.81,420034.41,-87,384,57,-37,CORE,1978
10013,2301128.81,420034.41,-77,301,57,27,CORE,1978
10014,2301124.61,420031.68,-87,303,57,-60,CORE,1978
10015,2300623.2,418408.61,-86,153,0,-90,CORE,1978
10016,2300619.41,418414.51,-83,169,327,-7,CORE,1978
10017,2300619.41,418414.51,-81,194,327,12,CORE,1978
10018,2300619.41,418414.51,-76,130,327,42,CORE,1978
10019,2300627.8,418403.3,-80,165,147,13,CORE,1978
10020,2300627.8,418403.3,-75,99,147,56,CORE,1978
10021,2300627.8,418403.3,-83,150,147,-13,CORE,1978
10022,2300617.91,418407.62,-84,294,327,-7,CORE,1978
10023,2300617.91,418407.62,-83,184,327,-22,CORE,1978
10024,2300617.91,418407.62,-80,289,327,11,CORE,1978
10025,2300617.91,418407.62,-76,95,327,35,CORE,1978
10026,2300950.41,419923.69,-89,82,0,-90,CORE,1978
10026A,2300951.5,419922.01,-89,202,0,-90,CORE,1978
10027,2300947.61,419927.91,-89,293,327,-46,CORE,1978
10028,2300953.11,419919.49,-89,261,147,-46,CORE,1978
10029,2300952.51,419920.31,-89,329,147,-26,CORE,1978
1003,2425900.98,289856.57,1200,100,0,-90,CORE?,1975
10030,2300953.11,419919.49,-86,400,147,0,CORE,1978
10031,2300946,419930.41,-86,500,327,0,CORE,1978
10032,2300946,419930.41,-89,519,327,-26,CORE,1978
10033,2300947.09,419928.7,-80,421,327,40,CORE,1978
